,Station,Prec.(mm),Date,LAT,LON
0,KANKASANTURAI,-,2013-01-10,9.48,80.04
1,JAFFNA,0.0,2013-01-10,9.68,80.03
2,MULLAITTIVU,-,2013-01-10,9.16,80.49
3,MANNAR,0.0,2013-01-10,8.98,79.92
4,VAVUNIYA,8.4,2013-01-10,8.75,80.5
5,TRINCOMALEE,25.6,2013-01-10,8.58,81.25
6,ANURADHAPURA,15.8,2013-01-10,8.35,80.38
7,MAHA ILLUPPALLAMA,34.5,2013-01-10,8.12,80.47
8,PUTTALAM,8.6,2013-01-10,8.03,79.83
9,BATTICALOA,48.3,2013-01-10,7.72,81.7
10,KURUNEGALA,84.4,2013-01-10,7.47,80.37
11,KANDY,75.4,2013-01-10,7.2,80.38
12,COLOMBO,12.9,2013-01-10,6.93,79.85
13,RATMALANA,15.5,2013-01-10,6.82,79.88
14,NUWARA ELIYA,48.1,2013-01-10,6.96,80.76
15,POTTUVIL,-,2013-01-10,6.88,81.83
16,BANDARAWELA,49.5,2013-01-10,6.82,80.99
17,BADULLA,108.6,2013-01-10,6.98,81.05
18,RATNAPURA,10.1,2013-01-10,6.68,80.4
19,GALLE,0.6,2013-01-10,6.03,80.22
20,HAMBANTOTA,5.6,2013-01-10,6.12,81.13
