stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,0.0,20130428,01KG0329,20130428
01BD0545,WEWESSA ESTATE,15.0,20130428,01BD0545,20130428
01RT196A,KALAWANA MINI HYDRO,0.0,20130428,01RT196A,20130428
01PU313A,MARAWILA,0.0,20130428,01PU313A,20130428
01KG175A,IBBAGAMUWA,0.0,20130428,01KG175A,20130428
01KG0326,MEDIYAWA TANK,0.0,20130428,01KG0326,20130428
01PL0340,MINNERIYA TANK,0.0,20130428,01PL0340,20130428
01PL224A,KAUDULLA WEWA,0.0,20130428,01PL224A,20130428
01MU357A,MUTU IYANKADDU,0.0,20130428,01MU357A,20130428
01AM0459,SAGAMAM TANK,0.0,20130428,01AM0459,20130428
01JF0425,POINT PEDRO,0.0,20130428,01JF0425,20130428
01KE0544,WEWELTALAWA ESTATE,7.4,20130428,01KE0544,20130428
01CB0268,LABUGAMA TANK,1.0,20130428,01CB0268,20130428
01PL538C,WELIKANDA SINGHAPURA,0.0,20130428,01PL538C,20130428
01AN104A,EHETUGASWEWA,0.0,20130428,01AN104A,20130428
01KT0200,KALUTARA-P.W.D.,0.0,20130428,01KT0200,20130428
01AM0012,AMPARAI TANK,0.0,20130428,01AM0012,20130428
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20130428,01KG0532,20130428
01MG540A,WELLAWAYA,5.7,20130428,01MG540A,20130428
01KG407A,PANNALA VIRIDIYAWA EST,0.0,20130428,01KG407A,20130428
01MU0216,KANNUKKENI TANK,0.0,20130428,01MU0216,20130428
01KG469A,SIYAMBALANGAMUWA,0.0,20130428,01KG469A,20130428
01KI0183,IRANAMADU TANK,0.0,20130428,01KI0183,20130428
01AM001E,ADDALACHENAI,0.0,20130428,01AM001E,20130428
01GM0011,AMBEPUSSA GOVT FARM,0.0,20130428,01GM0011,20130428
01GL0267,LABUDUWA,0.0,20130428,01GL0267,20130428
01RT042C,BELIHULOYA,22.6,20130428,01RT042C,20130428
01PU0065,CHILAW-P.W.D,0.0,20130428,01PU0065,20130428
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20130428,01AN193A,20130428
01CB0025,AVISSAWELLA ESTATE,0.0,20130428,01CB0025,20130428
01CB0150,HANWELLA GROUP,0.0,20130428,01CB0150,20130428
01GM0373,NEGOMBO,0.0,20130428,01GM0373,20130428
01RT0435,PUSSELLA S.P.,3.9,20130428,01RT0435,20130428
01BT197B,KALKUDAH,0.0,20130428,01BT197B,20130428
01NE506B,UDARADELLA,12.2,20130428,01NE506B,20130428
01AM368B,NAVATKIRI ARU TANK,0.0,20130428,01AM368B,20130428
01RT0032,BALANGODA POST OFFICE,30.0,20130428,01RT0032,20130428
01AM493B,THIRUKKOVIL,0.0,20130428,01AM493B,20130428
01BT0357,MYLAMBAVELLY ESTATE,0.0,20130428,01BT0357,20130428
01KE009B,AMBANPITIYA ESTATE,26.5,20130428,01KE009B,20130428
01HT481A,SURIYAWEWA,10.6,20130428,01HT481A,20130428
01MT0232,KEKENADURA (MATARA),0.0,20130428,01MT0232,20130428
01KT400C,PALLEGODA ESTATE,0.0,20130428,01KT400C,20130428
01KG014A,ANDIGAMA FARM,0.0,20130428,01KG014A,20130428
01CB166A,HOMAGAMA,0.0,20130428,01CB166A,20130428
01GM487B,THAMMITA,0.0,20130428,01GM487B,20130428
01NE0236,KENILWORTH (STRATHELLIE),68.0,20130428,01NE0236,20130428
