stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,0.0,20130511,01KG0329,20130511
01BD0545,WEWESSA ESTATE,0.0,20130511,01BD0545,20130511
01RT196A,KALAWANA MINI HYDRO,19.1,20130511,01RT196A,20130511
01PU313A,MARAWILA,0.0,20130511,01PU313A,20130511
01KG175A,IBBAGAMUWA,0.0,20130511,01KG175A,20130511
01KG0326,MEDIYAWA TANK,0.0,20130511,01KG0326,20130511
01PL0340,MINNERIYA TANK,0.0,20130511,01PL0340,20130511
01PL224A,KAUDULLA WEWA,0.0,20130511,01PL224A,20130511
01MU357A,MUTU IYANKADDU,0.0,20130511,01MU357A,20130511
01AM0459,SAGAMAM TANK,0.0,20130511,01AM0459,20130511
01JF0425,POINT PEDRO,0.0,20130511,01JF0425,20130511
01KE0544,WEWELTALAWA ESTATE,0.0,20130511,01KE0544,20130511
01CB0268,LABUGAMA TANK,0.0,20130511,01CB0268,20130511
01PL538C,WELIKANDA SINGHAPURA,0.0,20130511,01PL538C,20130511
01AN104A,EHETUGASWEWA,0.0,20130511,01AN104A,20130511
01KT0200,KALUTARA-P.W.D.,0.0,20130511,01KT0200,20130511
01AM0012,AMPARAI TANK,0.0,20130511,01AM0012,20130511
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20130511,01KG0532,20130511
01MG540A,WELLAWAYA,0.0,20130511,01MG540A,20130511
01GL0030,BADDEGAMA ESTATE,0.0,20130511,01GL0030,20130511
01KG407A,PANNALA VIRIDIYAWA EST,0.0,20130511,01KG407A,20130511
01MU0216,KANNUKKENI TANK,0.0,20130511,01MU0216,20130511
01KG469A,SIYAMBALANGAMUWA,0.0,20130511,01KG469A,20130511
01KI0183,IRANAMADU TANK,0.0,20130511,01KI0183,20130511
01AM001E,ADDALACHENAI,0.0,20130511,01AM001E,20130511
01GM0011,AMBEPUSSA GOVT FARM,0.0,20130511,01GM0011,20130511
01GL0267,LABUDUWA,0.0,20130511,01GL0267,20130511
01RT042C,BELIHULOYA,0.0,20130511,01RT042C,20130511
01PU0065,CHILAW-P.W.D,0.0,20130511,01PU0065,20130511
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20130511,01AN193A,20130511
01CB0025,AVISSAWELLA ESTATE,0.0,20130511,01CB0025,20130511
01CB0150,HANWELLA GROUP,0.0,20130511,01CB0150,20130511
01GM0373,NEGOMBO,0.0,20130511,01GM0373,20130511
01RT0435,PUSSELLA S.P.,0.0,20130511,01RT0435,20130511
01BT197B,KALKUDAH,0.0,20130511,01BT197B,20130511
01NE506B,UDARADELLA,0.0,20130511,01NE506B,20130511
01AM368B,NAVATKIRI ARU TANK,0.0,20130511,01AM368B,20130511
