Station_ID,Station_Name,Element_Code,Element_Name,yy,mm,dd,obs_val
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,1,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,2,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,3,3.2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,4,2.1
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,5,1.2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,6,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,7,26.4
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,8,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,9,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,10,12.2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,11,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,12,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,13,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,14,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,15,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,16,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,17,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,18,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,19,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,20,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,21,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,22,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,23,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,24,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,25,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,26,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,27,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,28,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,29,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,30,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,1,31,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,1,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,2,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,3,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,4,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,5,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,6,9.2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,7,27.8
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,8,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,9,30.1
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,10,14.6
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,11,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,12,0.3
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,13,57.1
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,14,11.7
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,15,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,16,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,17,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,18,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,19,39.2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,20,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,21,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,22,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,23,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,24,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,25,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,26,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,27,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,2,28,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,1,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,2,16.7
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,3,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,4,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,5,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,6,45.9
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,7,58
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,8,2
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,9,2.9
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,10,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,11,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,12,0
01KT021A,ARAMANAGOLLA,5,PRECIP,2013,3,13,0
